NI,NI,I,I,I,NI,,,,,,User,,Irony%,,NON-Irony%
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
2555,,In [ ]:,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,​,,,,,,,,,,,,,
,,In [ ]:,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,​,,,,,,,,,,,,,
